Alt (m);Mach number;Throttle;Power (kW);SFC (gr/MJ);PCN HP;PCN LP;PCN PT;Inlet airflow (kg/s);Fuel flow (kg/s);eta;ISA dev C;P3 (bar);T3 (K);FAR;Residual thrust (N);;;;Power (kW)
3000;0.2;0.379630132;700000;78.3352;0.85528;0.79231;0.99895;3.2692;0.054835;0.2960218;-10;9.6185;614.85;0.018638;563.81;;;;700
3000;0.2;0.488095884;900000;73.1416;0.88564;0.85096;0.9992;3.6706;0.065827;0.3170417;-10;11.038;634.06;0.019927;757.29;;;;900
3000;0.2;0.596561636;1100000;69.929;0.91419;0.89401;0.9994;4.057;0.076922;0.331607;-10;12.423;650.24;0.021068;970.67;;;;1100
3000;0.2;0.705027388;1300000;68.0313;0.93875;0.9371;0.99957;4.4169;0.088441;0.3408566;-10;13.766;666.04;0.022249;1202.02;;;;1300
3000;0.2;0.81349314;1500000;67.1844;0.96088;0.97093;0.99971;4.7395;0.10078;0.3451537;-10;15.06;683.37;0.023627;1450.16;;;;1500
3000;0.2;0.921958891;1700000;66.8179;0.982;1.007;0.99984;5.0546;0.11359;0.3470465;-10;16.351;699.9;0.024971;1718.11;;;;1700
3000;0.2;1.030424643;1900000;66.7559;1.0024;1.0452;0.99995;5.3619;0.12684;0.3473693;-10;17.638;715.85;0.026285;2003.16;;;;1900
3000;0.4;0.155668552;300020;107.5841;0.7659;0.54818;0.9981;2.281;0.032277;0.2155424;-10;6.3318;561.89;0.015722;73.28;;;;300.02
3000;0.4;0.25943548;500010;86.2937;0.8109;0.67267;0.99861;2.845;0.043147;0.2687209;-10;8.1206;592.73;0.016851;203.74;;;;500.01
3000;0.4;0.363202408;700000;77.1661;0.85035;0.7663;0.99895;3.2933;0.054016;0.3005068;-10;9.653;617.28;0.018224;353.16;;;;700
3000;0.4;0.466974524;900000;72.1523;0.8798;0.82771;0.9992;3.6958;0.064937;0.3213886;-10;11.076;636.71;0.019523;521.3;;;;900
3000;0.4;0.57074664;1100000;69.1297;0.90765;0.87816;0.9994;4.0775;0.076043;0.3354409;-10;12.457;653.64;0.020722;710.04;;;;1100
3000;0.4;0.674518757;1300000;67.1378;0.9333;0.91574;0.99957;4.4542;0.087279;0.3453932;-10;13.827;668.09;0.021772;919.96;;;;1300
3000;0.4;0.778290873;1500000;66.1563;0.95451;0.95377;0.99971;4.7986;0.099234;0.3505172;-10;15.155;683.6;0.022978;1149.94;;;;1500
3000;0.4;0.88206299;1700000;65.8324;0.97511;0.98576;0.99984;5.1183;0.11192;0.3522418;-10;16.456;699.87;0.024295;1399.27;;;;1700
3000;0.4;0.985835106;1900000;65.8129;0.99481;1.0195;0.99995;5.4314;0.12504;0.3523465;-10;17.755;715.42;0.025579;1666.77;;;;1900
3000;0.4;1.089607223;2100000;66.0339;1.0142;1.0556;1;5.7384;0.13867;0.3511672;-10;19.057;730.65;0.026851;1956.64;;;;2100
3000;0.6;0.242405585;500010;83.9553;0.80157;0.62678;0.99861;2.8795;0.041978;0.2762058;-10;8.1662;596.79;0.016199;17.58;;;;500.01
3000;0.6;0.339361032;700000;75.171;0.83909;0.7128;0.99895;3.3356;0.05262;0.3084825;-10;9.7109;620.7;0.017528;138.36;;;;700
3000;0.6;0.436321326;900000;70.4516;0.87181;0.7874;0.9992;3.7402;0.063406;0.329147;-10;11.143;640.9;0.018836;281.29;;;;900
3000;0.6;0.533281621;1100000;67.6307;0.89696;0.84047;0.9994;4.1242;0.074394;0.3428757;-10;12.529;657.98;0.020043;446.42;;;;1100
3000;0.6;0.630241916;1300000;65.8724;0.9219;0.88614;0.99957;4.4942;0.085634;0.3520282;-10;13.893;673.45;0.021172;632.91;;;;1300
3000;0.6;0.727202211;1500000;64.7265;0.9451;0.92004;0.99971;4.8658;0.09709;0.3582605;-10;15.264;686.88;0.02217;841.84;;;;1500
3000;0.6;0.824162505;1700000;64.2238;0.96491;0.95696;0.99984;5.2215;0.10918;0.3610646;-10;16.626;700.5;0.023233;1073.87;;;;1700
